,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50,ClusterGMM
140,Paraguay,406752.0,6811,17.1,27714.0,3.1,4174.4,19.0,29.5,51.6,19.6,19.5,61.0,5.5,160.0,166.0,8494.0,9753.0,1.3,59.7,2.1,29.4,9.4,9.8,1.3,5.0,95.5,78.4,0.22,74.9,70.7,104.3,107.6,79.1,74.2,12.63333333,14.81333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,113,266,2
141,Peru,1285216.0,32166,25.1,190428.0,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145.0,148.0,36040.0,36185.0,1.3,78.6,1.7,27.4,10.4,5.5,1.1,4.0,82.5,53.2,0.18,76.8,71.5,101.7,101.7,95.8,95.7,21.49333333,21.59333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1323,27517,2
142,Philippines,300000.0,104918,351.9,292449.0,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122.0,120.0,56313.0,85909.0,1.6,44.4,1.3,31.7,7.6,4.7,2.4466666669999997,5.4,77.9,70.8,0.15,72.1,65.4,116.9,116.8,92.7,84.4,40.3,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33,2084,7192,2
146,Qatar,11607.0,2639,227.3,164641.0,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154.0,154.0,57254.0,32058.0,6.6,99.2,6.0,13.9,2.8,2.2,2.0,3.6,98.0,98.0,1.4113333330000002,79.4,76.8,103.6,102.4,103.6,82.0,43.9,6.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,693,8525,2
157,Saudi Arabia,2206714.0,32938,15.3,653219.0,3.4,20710.6,2.3,46.0,51.8,5.9,22.7,71.4,5.5,96.0,96.0,182329.0,135904.0,2.8,83.1,2.1,25.2,5.6,4.7,2.6,4.413333333,100.0,100.0,1.284,75.6,72.7,111.1,107.9,93.7,122.6,61.8,64.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1563,16299,2
167,South Africa,1221037.0,56717,46.8,314571.0,1.3,5773.0,2.4,28.9,68.7,6.1,26.2,67.7,26.0,125.0,126.0,74111.0,74744.0,1.4,64.8,1.6,29.0,8.4,8.8,0.8,6.0,69.6,60.5,0.47,63.0,56.1,97.3,102.2,111.5,88.0,23.3,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1353,4361,2
170,Sri Lanka,65610.0,20877,332.9,82316.0,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,5.2,120.0,122.0,10546.0,19501.0,0.5,18.4,0.8,24.0,14.9,3.5,3.1,2.2,88.1,96.7,0.53,78.0,71.2,100.6,102.7,102.0,97.5,24.0,15.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,159,649,2
171,State of Palestine,6020.0,4921,817.4,12677.0,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,24.2,90.0,90.0,929.0,5058.0,2.7,75.3,2.8,39.6,4.6,6.6333333329999995,1.3866666669999999,1.3,93.0,90.2,17.52,74.8,71.1,94.3,94.4,87.0,79.2,54.4,34.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,106,336,2
172,Sudan,359992.3333,40533,23.0,79546.0,4.9,1977.0,32.4,20.1,47.6,32.9,20.4,46.7,13.4,136.4,138.6,1797.0,7658.0,2.3,33.8,2.5,40.8,5.5,8.4,3.1,4.486666667,76.21333333,62.67333333,1.09,65.1,62.1,66.6,74.1,41.5,43.9,16.8,15.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,442,2
173,Suriname,163820.0,563,3.6,4879.0,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,9.9,152.0,152.0,1437.0,1244.0,1.0,66.0,0.8,26.4,10.4,5.7,2.066666667,4.82,88.4,61.4,0.32,74.2,67.8,121.4,124.2,90.9,71.7,20.03333333,20.34666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,2
174,Swaziland,17363.0,1367,79.5,4133.0,1.7,3211.7,6.6,42.1,51.3,22.0,17.0,61.0,25.1,114.0,115.0,1881.0,733.0,1.8,21.3,1.3,37.2,4.8,9.3,1.146666667,7.0,63.1,56.0,2.39,58.2,51.6,108.0,117.5,65.8,66.2,5.5,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10,108,2
177,Syrian Arab Republic,185180.0,18270,99.5,28393.0,-5.3,1534.5,20.7,30.0,49.3,18.5,39.2,42.3,13.8,65.0,68.0,1265.0,2383.0,-2.3,57.7,1.4,36.6,6.8,3.3,1.5,4.493333333,96.2,95.1,3.702,76.3,64.4,78.7,81.4,50.5,50.5,47.0,41.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,47,2
178,Tajikistan,142600.0,8921,63.7,7853.0,4.2,925.9,25.0,28.0,47.1,57.2,13.4,29.4,10.8,155.0,172.0,899.0,3030.0,2.2,26.8,2.6,35.3,5.8,6.9,1.7,5.2,93.8,95.5,4.55,73.5,67.7,101.2,99.8,83.1,92.5,24.0,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,230,2738,5279,2
179,Thailand,513120.0,69038,135.1,395168.0,2.8,5814.8,9.1,35.7,55.1,34.0,22.7,43.3,0.6,129.0,126.0,213927.0,195666.0,0.4,50.4,3.0,17.3,16.9,4.1,2.44,4.1,89.9,96.1,0.02,78.4,70.8,99.2,106.1,125.3,132.6,57.3,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82,1978,2938,2
181,Timor-Leste,14919.0,1296,87.2,2873.0,4.3,2425.4,5.2,79.9,14.9,50.8,2.0,47.2,4.3,111.0,117.0,94.0,647.0,2.2,32.8,3.8,43.6,5.4,1.5,0.1,7.8,69.0,26.8,8.89,69.5,66.1,136.2,137.5,79.6,74.1,20.5,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,24,2
184,Tunisia,163610.0,11532,74.2,41199.0,0.8,3660.9,10.3,27.8,62.0,11.7,29.4,58.9,14.6,108.0,108.0,13483.0,19456.0,1.2,66.8,1.4,24.0,12.3,7.0,1.6,6.3,97.4,79.8,1.14,77.1,73.0,112.5,115.8,94.2,90.0,43.3,26.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,455,967,2
195,Uzbekistan,448969.0,31911,75.0,69004.0,6.8,2308.3,19.2,32.9,47.9,29.0,23.9,47.1,8.9,158.0,174.0,27947.0,25652.0,1.6,36.4,1.4,28.0,7.6,5.8,2.5,4.5,100.0,100.0,0.66,73.5,68.1,103.2,105.6,95.1,96.8,7.1,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,555,2149,2
196,Venezuela (Bolivarian Republic of),912050.0,31977,36.3,344331.0,-6.2,11068.9,5.3,44.7,50.0,11.9,26.8,61.3,6.6,118.0,119.0,19731.0,16324.0,1.4,89.0,1.5,27.6,9.9,5.3,0.8866666670000001,4.48,97.5,69.9,0.01,78.2,69.9,98.6,101.3,93.0,86.5,25.28,23.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,166,345,2
197,Viet Nam,330967.0,95541,308.1,193241.0,6.7,2067.9,18.9,37.0,44.2,41.8,22.9,35.2,2.2,136.0,134.0,176632.0,174111.0,1.1,33.6,3.0,23.1,11.1,7.1,1.2,5.7,94.4,69.7,1.73,80.3,70.7,108.4,109.3,102.5933333,100.6866667,28.9,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,206,270,2
198,Western Sahara,266000.0,553,2.1,83410.33333,3.28,7184.573333,14.98,32.27333333,52.74666667,37.4,27.9,34.7,6.8,100.0,100.0,25458.266669999997,27233.266669999997,1.8,80.9,3.3,28.1,5.4,5.886666667,2.193333333,4.2533333330000005,74.32,62.62,3.9946666669999997,70.3,66.9,100.33333329999999,102.5266667,78.12666667,79.5,43.46,34.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,23,2
199,Yemen,527968.0,28250,53.5,29688.0,-28.1,1106.4,14.7,36.9,48.4,32.9,17.9,49.2,16.1,136.0,137.0,570.0,6861.0,2.6,34.6,4.0,39.9,4.6,5.6,0.3,4.16,92.5,34.1,2.99,65.6,62.8,88.9,105.7,39.5,57.4,6.1,13.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,278,2
