,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50,ClusterGMM
28,Brunei Darussalam,5765.0,429,81.3,12930.0,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,157.0,157.0,4875.0,2679.0,1.4,77.2,1.8,23.0,8.0,2.6,1.5,4.4,93.42,91.03333333,3.289333333,78.4,75.1,108.2,108.1,96.3,95.9,38.6,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,135,138,2
32,Cabo Verde,4033.0,546,135.6,1603.0,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,98.0,98.0,29.0,485.0,1.2,65.5,2.0,30.2,6.9,4.8,0.3,5.0,81.6,54.3,9.81,74.0,70.1,106.9,112.8,98.3,87.7,25.2,18.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10,230,2
33,Cambodia,181035.0,16005,90.7,18050.0,7.0,1158.7,28.2,29.4,42.3,42.4,19.6,38.0,0.3,175.0,177.0,13204.0,15313.0,1.6,20.7,2.6,31.3,7.1,5.7,0.2,1.9,88.1,30.5,3.97,69.6,65.5,116.2,117.1,74.28,74.26,11.8,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,114,122,2
40,China,9600000.0,1409517,150.1,11158457.0,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,132.0,133.0,2118981.0,1588696.0,0.5,55.6,3.0,17.7,16.2,5.5,1.5,4.7,86.6,63.7,0.0,77.2,74.2,104.3,104.0,95.6,93.2,47.3,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80667,81733,83817,2
41,Colombia,1141748.0,49066,44.2,292080.0,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,114.0,115.0,31045.0,44831.0,1.0,76.4,1.7,23.5,11.6,7.2,1.046666667,4.5,85.2,67.9,0.47,77.4,70.2,111.6,115.4,101.5,94.8,59.9,51.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1579,7006,2
44,Costa Rica,51100.0,4906,96.1,52958.0,3.7,11015.0,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127.0,129.0,9908.0,15322.0,1.1,76.8,2.7,21.6,13.6,9.3,1.2,7.2,95.2,92.3,0.22,81.7,76.7,109.5,110.1,125.6,120.7,60.9,46.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,375,695,2
54,Ecuador,257217.0,16625,66.9,100177.0,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118.0,119.0,16798.0,16189.0,1.6,63.7,1.9,28.4,10.5,9.2,1.7,5.0,87.0,80.7,0.31,78.4,72.8,107.9,107.4,109.2,105.3,45.3,34.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1211,9468,2
55,Egypt,1002000.0,97553,98.0,315917.0,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120.0,122.0,22507.0,58053.0,2.2,43.1,1.7,33.5,7.9,5.6,0.8,4.606666667,96.8,93.1,0.78,73.0,68.7,103.8,104.1,85.9,86.3,35.6,36.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,576,3659,2
56,El Salvador,21041.0,6378,307.8,25850.0,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,6.4,111.0,117.0,5335.0,9855.0,0.5,66.7,1.4,27.4,11.6,6.8,1.473333333,3.5,82.4,60.0,0.36,77.1,67.9,106.8,111.4,79.7,79.2,30.5,27.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,118,695,2
57,Equatorial Guinea,28052.0,1268,45.2,13812.0,-7.4,16344.1,1.2,73.1,25.7,18.8,18.0,63.2,7.7,117.0,118.0,7443.0,5456.0,4.2,39.9,3.1,37.2,4.4,3.8,1.72,5.2066666669999995,79.9,71.0,0.15,58.4,55.5,78.2,80.0,75.49333333,74.38666667,33.12666667,25.58666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,315,2
