,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50,ClusterGMM
1,Albania,28748.0,2930,106.9,11541.0,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,134.0,134.0,1962.0,4669.0,-0.1,57.4,2.2,17.4,19.0,5.9,1.3,3.5,95.5,90.2,2.96,79.9,75.6,111.7,115.5,92.5,98.8,68.1,48.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,259,726,0
3,Andorra,468.0,77,163.8,2812.0,0.8,39896.4,0.5,10.8,88.6,3.5333333330000003,17.63333333,76.59333333,11.26666667,105.53333329999998,106.2,100.0,1355.0,-1.6,85.1,0.1,14.4,19.0,8.1,3.7,3.3,100.0,100.0,7.870666667,80.77333333,75.23333333,101.82,105.32,99.74,97.43333333,54.03333333,34.76666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,564,748,0
5,Anguilla,91.0,15,165.7,320.0,2.9,21879.6,2.3,15.7,82.0,6.213333333,17.28,74.26666667,10.76,97.13333333,97.13333333,2.0,154.0,1.2,100.0,1.2,23.3,7.6,6.84,1.72,5.4,97.9,90.56,11.446,79.29333333,73.68666667,103.2066667,107.22,99.60666667,97.77333333,49.17333333,32.17333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0
6,Antigua and Barbuda,442.0,102,231.8,1356.0,4.1,14764.5,1.9,18.3,79.8,8.446666667,17.80666667,71.5,11.66666667,88.0,88.0,61.0,491.0,1.1,23.8,-0.9,23.9,10.9,5.5,1.38,5.353333333,91.4,91.4,0.12,78.2,73.3,94.1,100.0,103.8,101.6,31.1,15.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,25,0
7,Argentina,2780400.0,44271,16.2,632343.0,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,119.0,119.0,57733.0,55610.0,1.0,91.8,1.0,24.9,15.4,4.8,3.8,5.3,96.2,98.3,0.01,79.8,72.2,109.8,110.2,110.3,103.4,102.9,63.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,820,3423,0
9,Aruba,180.0,105,584.8,2702.0,0.1,26005.4,0.5,15.4,84.1,0.6,14.0,85.1,10.52666667,101.7333333,101.7333333,95.0,1117.0,0.5,41.5,-0.3,17.9,19.7,6.613333333,1.766666667,6.2,97.7,97.7,6.417333332999999,77.8,72.9,115.4,119.1,112.1,110.3,21.4,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,95,101,0
10,Australia,7692060.0,24451,3.2,1230859.0,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111.0,111.0,189630.0,189406.0,1.5,89.4,1.5,19.0,21.0,9.4,3.4,5.2,100.0,100.0,2.640666667,84.4,80.2,102.1,102.3,133.6,141.3,106.3,75.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2799,6612,0
11,Austria,83871.0,8736,106.0,376967.0,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108.0,108.0,145503.0,149299.0,0.6,66.0,0.4,14.1,25.1,11.2,5.2,5.5,100.0,100.0,0.647333333,83.5,78.4,102.2,103.7,97.6,102.4,89.2,74.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,5888,14710,0
13,Bahamas,13940.0,395,39.5,8854.0,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132.0,132.0,365.0,2904.0,1.4,82.9,1.5,20.5,13.5,7.7,1.553333333,5.506666667,92.0,92.0,2.862666667,78.1,72.0,101.2333333,104.42,98.66,95.46,42.36,25.37333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,83,0
16,Barbados,431.0,286,664.5,4385.0,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88.0,88.0,517.0,1621.0,0.3,31.5,0.1,19.1,21.0,7.5,1.553333333,6.6,96.2,96.2,6.417333332999999,77.7,72.9,94.2,93.1,110.7,107.9,90.6,40.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,67,82,0
