,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male)
10,Aruba,Caribbean,180,105,584.8,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,10.52666667,101.7333333,101.7333333,95,1117,0.5,41.5,-0.3,17.9,19.7,6.613333333,1.766666667,6.2,97.7,97.7,6.417333333,77.8,72.9,115.4,119.1,112.1,110.3,21.4,9.4
11,Australia,Oceania,7692060,24451,3.2,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630,189406,1.5,89.4,1.5,19,21,9.4,3.4,5.2,100,100,2.640666667,84.4,80.2,102.1,102.3,133.6,141.3,106.3,75.4
12,Austria,WesternEurope,83871,8736,106,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108,108,145503,149299,0.6,66,0.4,14.1,25.1,11.2,5.2,5.5,100,100,0.647333333,83.5,78.4,102.2,103.7,97.6,102.4,89.2,74.3
13,Azerbaijan,WesternAsia,86600,9828,118.9,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131,136,9143,8532,1.3,54.6,1.6,23.3,10.1,6,3.4,2.6,91.6,86.6,0.14,74.6,68.6,105.6,107.4,92.08666667,89.76,27.5,23.6
14,Bahamas,Caribbean,13940,395,39.5,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132,132,365,2904,1.4,82.9,1.5,20.5,13.5,7.7,1.553333333,5.506666667,92,92,2.862666667,78.1,72,101.2333333,104.42,98.66,95.46,42.36,25.37333333
15,Bahrain,WesternAsia,771,1493,1963.9,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,1.3,167,167,12892,14749,2,88.8,1.7,19.7,4.6,5,0.9,2.7,99.2,99.2,2.898666667,77.5,75.6,101.8,100.6,101.9,102.4,59.4,30.9
16,Bangladesh,SouthernAsia,147570,164670,1265,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4,141,140,36031,52624,1.2,34.3,3.6,28.4,7.3,2.8,0.4,1.9,57.7,62.1,1.24,72.9,69.8,125.1,116,67.4,59.8,11.4,15.4
17,Barbados,Caribbean,431,286,664.5,4385,0.9,15429.4,1.7,12.1,86.2,2.8,19.3,77.9,11.3,88,88,517,1621,0.3,31.5,0.1,19.1,21,7.5,1.553333333,6.6,96.2,96.2,6.417333333,77.7,72.9,94.2,93.1,110.7,107.9,90.6,40.3
18,Belarus,EasternEurope,207600,9468,46.7,54609,-3.9,5750.8,7.5,38.9,53.6,9.6,32,58.4,0.5,122,122,23414,27464,0,76.7,0,16.7,21.3,5.7,4.1,4.9,94.1,95.2,0.2,77.7,66.5,101.3,101.4,106.4,107.8,100.7,75.9
19,Belgium,WesternEurope,30528,11429,377.5,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108,107,398033,372713,0.6,97.9,0.5,17.1,24.6,10.6,3,6.6,99.5,99.4,0.639333333,83,78,104.2,104.2,177.7,156.4,85.4,65
20,Belize,CentralAmerica,22966,375,16.4,1721,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97,97,246,952,2.2,44,1.9,31.4,6.2,5.8,1.146666667,6.4,93.5,88.2,1.68,72.7,67.2,110.4,115.8,81.8,79.8,28.7,17.9
21,Benin,WesternAfrica,114763,11176,99.1,8476,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1,152,158,410,2630,2.8,44,3.7,42.7,5,4.6,0.1,4.4,35.6,7.3,5.09,61.4,58.5,123.7,134.2,46.8,66.7,8.4,22.4
22,Bermuda,NorthernAmerica,53,61,1227,5853,0.4,94399.9,0.7,5.3,94,1.6,10.3,87.6,6.7,115,115,8,971,-0.6,100,0.2,14.8,24.9,6.613333333,2.386666667,1.7,93.96,91.76666667,4.498666667,85.1,77.5,89.4,91.3,75.5,67.7,34.1,14.7
23,Bhutan,SouthernAsia,38394,808,21.2,2074,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98,98,616,1688,1.6,38.6,3.7,26.5,7.3,3.6,0.3,7.4,77.9,33.1,5.26,68.9,68.6,96.9,96.6,87.1,81.4,9.2,12.6
24,Bolivia (Plurinational State of),SouthAmerica,1098581,11052,10.2,32998,4.8,3076.8,12.6,31,56.5,29.5,21.1,49.4,3.8,142,143,6969,8374,1.6,68.5,2.3,31.6,9.5,6.3,0.5,7.3,60.8,27.5,2.38,70.2,65.3,95.7,98.5,85.7,87.1,18.24666667,18.44
25,"Bonaire, Sint Eustatius and Saba",Caribbean,145611.1333,25,77.4,1393.333333,2.28,31032.2,6.606666667,14.72666667,78.66,13.29333333,17.48666667,71.46666667,7.333333333,98.86666667,99.53333333,286.4,763.8,3.2,74.7,2.4,22.37333333,14.26,7.7,1.733333333,4.92,90.3,85.15333333,10.08733333,76.77333333,70.95333333,103.0466667,106.3266667,97.5,96.06666667,49.45333333,35.09333333
26,Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,16251,3.1,4265,7.3,26.5,66.2,18,30.4,51.7,25.4,96,97,5327,9130,-1,39.8,0.1,14.1,23.4,9.6,1.9,4.46,98.9,92,2.2,78.8,73.7,107.2066667,107.9933333,74.79333333,75.15333333,34.72,27.8
27,Botswana,SouthernAfrica,582000,2292,4,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110,110,7321,6103,1.8,57.4,1.3,31.4,6.4,5.4,0.4,4.153333333,78.5,43.1,0.46,66.1,59.8,105.8,109.4,52.26666667,59.04666667,27.7,19.2
28,Brazil,SouthAmerica,8515767,209288,25,1772591,-3.8,8528.3,5.2,22.7,72,15.2,21.5,63.2,12.4,135,136,185235,137552,0.9,85.7,1.2,21.7,12.6,8.3,1.9,6,88,51.5,0.06,78.4,71,113.8,116.8,102.2,97.2,59.3,42.4
