,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia
43,"China, Hong Kong SAR",1106.0,7365,7014.2,309236.0,2.4,42431.0,0.1,7.2,92.7,0.2,14.9,84.9,3.5,34.0,34.0,516588.0,547124.0,0.6,100.0,0.7,11.5,23.5,7.373333333,3.36,3.3,92.96,91.74666667,0.6426666670000001,86.4,80.5,102.94666670000001,105.66,98.8,102.8,73.7,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Denmark,42921.0,5734,135.1,301308.0,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6.0,105.0,105.0,94355.0,85133.0,0.5,87.7,0.6,16.5,25.3,10.8,3.6,8.6,99.6,99.6,0.9946666670000001,82.2,78.1,100.7,102.3,133.4,128.3,96.3,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,Ireland,69797.0,4762,69.1,283716.0,26.3,60513.6,1.0,41.7,57.3,4.8,17.7,77.4,7.6,102.0,102.0,129315.0,76997.0,0.3,63.2,1.6,21.6,19.1,7.8,2.8,5.3,89.1,92.9,0.970666667,83.0,78.7,102.0,100.9,129.4,125.6,87.6,80.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,Israel,22072.0,8322,384.5,299413.0,2.5,37129.4,1.3,21.2,77.5,1.0,17.9,81.0,5.9,112.0,112.0,60571.0,65803.0,1.6,92.1,1.4,27.9,16.1,7.8,3.6,5.8,100.0,100.0,1.524,83.7,80.0,105.1,104.4,103.0,102.0,75.5,54.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Singapore,719.0,5709,8155.5,292734.0,2.0,52239.0,0.0,26.4,73.6,0.3,17.0,82.6,2.0,112.0,112.0,329871.0,283009.0,1.7,100.0,2.0,15.0,19.5,4.9,1.9,2.9,100.0,91.48666667,1.013333333,84.5,80.1,103.0666667,105.90666670000002,108.4,105.64,70.12666667,56.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
