,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia
78,Germany,357376.0,82114,235.6,3363600.0,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,111.0,111.0,1340752.0,1060672.0,0.2,75.3,0.2,13.1,28.0,11.3,4.1,5.0,99.3,99.0,0.47133333299999997,82.9,77.9,104.7,105.2,99.6,105.6,66.8,69.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,Greece,131957.0,11160,86.6,194860.0,-0.2,17788.0,4.1,15.7,80.2,12.9,15.0,72.1,23.0,86.0,87.0,27811.0,47595.0,-0.4,78.0,0.5,14.2,26.5,8.1,6.3,4.1,99.2,98.1,1.038666667,83.3,78.0,97.1,98.1,103.4,109.5,113.7,114.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Guatemala,108889.0,16914,157.8,63794.0,4.1,3903.5,10.8,27.2,62.0,32.0,18.5,49.4,2.4,158.0,158.0,10572.0,16987.0,2.1,51.6,3.4,35.1,6.9,6.2,2.833333333,3.0,77.5,49.3,0.66,75.6,69.2,99.8,103.8,63.3,67.9,23.5,20.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,Hungary,93024.0,9722,107.4,121715.0,3.1,12350.6,4.1,31.9,64.0,4.3,29.8,65.9,4.5,99.0,99.0,103071.0,92044.0,-0.3,71.2,0.5,14.3,26.0,7.4,3.3,4.7,97.8,98.6,1.2913333329999999,78.8,71.7,101.3,101.9,105.3,105.1,56.7,45.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,India,3287263.0,1339180,450.4,2116239.0,7.6,1614.2,17.0,29.7,53.2,44.3,24.5,31.2,3.4,143.0,142.0,260327.0,356705.0,1.2,32.7,2.4,27.8,9.4,4.7,0.7,3.8,62.6,28.5,0.16,69.1,66.2,115.1,102.8,74.5,73.5,26.7,27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Indonesia,1910931.0,263991,145.7,861934.0,4.8,3346.5,14.0,41.3,44.7,31.4,22.4,46.2,5.8,139.0,140.0,144490.0,135653.0,1.2,53.7,2.7,27.4,8.6,2.8,0.2,3.6,72.3,47.5,0.0,70.7,66.6,104.4,107.2,86.0,85.7,25.7,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
97,Iran (Islamic Republic of),1628750.0,81163,49.8,398563.0,0.4,5038.1,8.6,39.1,52.3,16.6,32.5,50.9,11.3,106.0,107.0,45627.0,35333.0,1.2,73.4,2.1,23.7,8.8,7.5,1.5,2.9,92.8,82.3,0.02,76.2,74.0,111.7,106.3,88.9,89.4,67.7,75.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Iraq,435052.0,38275,88.1,164234.0,-2.4,4509.0,4.6,58.0,37.4,20.4,21.0,58.6,16.1,123.0,123.0,27341.0,45831.0,3.2,69.5,3.0,40.4,5.0,5.5,0.9,4.8,86.4,83.8,0.88,71.4,67.0,101.5066667,104.8466667,78.64666667,80.74666667,36.54666667,31.93333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Italy,302073.0,59360,201.8,1821580.0,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,89.0,89.0,461529.0,404578.0,-0.1,69.0,0.4,13.5,29.4,9.2,3.9,4.1,99.5,99.6,0.568666667,84.7,79.9,100.6,101.4,101.7,104.1,72.2,53.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Japan,377930.0,127484,349.7,4383076.0,1.2,34628.7,1.2,26.4,72.4,3.7,26.5,69.8,3.0,96.0,97.0,644932.0,606924.0,-0.1,93.5,0.6,12.9,33.4,10.2,2.3,3.6,100.0,100.0,0.36666666700000006,86.4,80.0,101.2,101.3,101.9,101.6,60.9,65.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106,Kazakhstan,2724902.0,18204,6.7,181754.0,1.2,10312.1,5.0,32.5,62.5,18.1,20.4,61.6,5.6,126.0,127.0,36775.0,25175.0,1.6,53.2,0.9,27.9,11.1,4.4,3.3,2.8,97.0,98.1,0.05,73.9,64.3,109.1,108.8,113.5,110.6,51.3,41.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,Kenya,591958.0,49700,87.3,63399.0,5.6,1376.7,32.0,19.0,49.0,61.9,8.6,29.5,10.8,126.0,126.0,5688.0,14109.0,2.7,25.6,4.3,40.5,4.3,5.7,0.2,5.3,31.2,29.7,3.93,67.8,63.0,108.7,109.3,52.26666667,59.04666667,15.76666667,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Kuwait,17818.0,4136,232.1,114054.0,1.8,29303.9,0.6,48.7,50.7,2.6,27.3,70.1,2.2,199.0,199.0,46238.0,30825.0,5.4,98.3,3.6,21.1,4.9,3.0,1.9,4.346666667,100.0,100.0,1.4113333330000002,75.5,73.5,103.0,102.4,102.7,88.2,33.1,20.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Madagascar,587295.0,25571,44.0,9739.0,3.1,401.8,24.9,18.4,56.7,74.2,9.4,16.5,2.3,119.0,120.0,2256.0,2965.0,2.7,35.1,4.7,41.0,4.8,3.0,0.1,2.1,18.0,8.7,7.05,66.0,63.0,148.9,148.9,38.1,38.8,4.6,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
122,Malaysia,330323.0,31624,96.3,296284.0,5.0,9768.4,8.6,39.6,51.8,11.8,27.3,60.9,3.3,122.0,130.0,189414.0,168375.0,1.8,74.7,2.7,24.3,9.7,4.2,1.3,5.0,96.1,95.9,0.0,77.1,72.6,101.9,101.7,80.7,74.6,31.8,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,Mexico,1964375.0,129163,66.4,1140724.0,2.5,8980.9,3.6,36.0,60.4,13.4,25.2,61.3,4.1,120.0,120.0,373883.0,387064.0,1.4,79.2,1.6,26.7,10.1,6.3,2.1,5.3,88.0,74.5,0.03,78.9,74.0,103.2,103.6,93.5,87.7,30.0,29.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,Morocco,446550.0,35740,80.1,100359.0,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130.0,130.0,22858.0,41696.0,1.4,60.2,2.3,27.4,10.7,5.9,0.6,4.7066666669999995,84.1,65.5,1.51,76.0,73.7,111.6,117.7,63.5,74.4,27.5,28.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Myanmar,676577.0,53371,81.7,62601.0,7.3,1161.5,26.7,34.5,38.7,23.6,14.6,61.7,0.8,130.0,128.0,11673.0,15696.0,0.9,34.1,2.5,26.8,9.4,2.3,0.6,3.9666666669999997,84.3,77.1,2.23,68.3,63.7,98.3,101.0,52.0,50.6,14.9,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,Netherlands,41542.0,17036,505.2,750318.0,2.0,44332.1,1.8,20.0,78.2,2.2,15.9,81.9,5.6,115.0,115.0,511714.0,420969.0,0.3,90.5,1.0,16.4,25.0,10.9,3.4,5.5,97.5,99.9,0.583333333,83.1,79.4,104.4,105.0,136.3,134.7,82.5,74.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,New Zealand,268107.0,4706,17.9,173417.0,3.1,38294.3,6.5,23.0,70.6,5.9,21.4,72.6,5.5,116.0,118.0,33833.0,36423.0,1.1,86.3,1.0,19.8,20.8,11.0,2.9,6.4,77.66666667,63.91333333,3.948666667,83.1,79.5,99.1,99.6,119.9,113.4,96.7,71.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Nigeria,923768.0,190886,209.6,494583.0,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116.0,117.0,104084.0,36533.0,2.7,47.8,4.7,44.0,4.5,3.7,1.4333333330000002,4.833333333,32.8,25.4,0.52,52.6,51.2,92.8,94.5,53.5,57.8,8.3,11.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
151,Norway,386194.0,5305,14.5,386578.0,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,5.1,103.0,104.0,89120.0,72473.0,1.2,80.5,1.3,17.8,22.3,9.7,4.4,7.4,98.0,98.3,1.0473333329999999,83.6,79.5,100.3,100.5,111.1,114.7,91.5,62.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,Pakistan,796095.0,197016,255.6,266458.0,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,135.0,138.0,20534.0,46998.0,2.1,38.8,2.8,34.8,6.7,2.6,0.8,2.6,83.1,51.1,1.32,66.8,65.0,85.2,99.7,39.2,49.5,9.2,10.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Peru,1285216.0,32166,25.1,190428.0,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,5.3,145.0,148.0,36040.0,36185.0,1.3,78.6,1.7,27.4,10.4,5.5,1.1,4.0,82.5,53.2,0.18,76.8,71.5,101.7,101.7,95.8,95.7,21.49333333,21.59333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Philippines,300000.0,104918,351.9,292449.0,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,5.9,122.0,120.0,56313.0,85909.0,1.6,44.4,1.3,31.7,7.6,4.7,2.4466666669999997,5.4,77.9,70.8,0.15,72.1,65.4,116.9,116.8,92.7,84.4,40.3,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,Poland,312679.0,38171,124.6,477066.0,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113.0,113.0,196455.0,188518.0,0.0,60.5,-0.1,14.8,24.0,6.4,2.3,4.9,97.5,96.7,1.044666667,81.0,72.9,100.7,100.5,106.1,110.0,82.6,54.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,Portugal,92226.0,10330,112.8,199122.0,1.6,19239.2,2.3,22.3,75.4,8.0,23.8,68.2,10.5,104.0,104.0,55658.0,67580.0,-0.4,63.5,1.0,13.6,27.9,9.5,4.4,5.1,99.6,99.8,1.1540000000000001,83.5,77.3,105.3,109.4,117.3,121.0,65.7,58.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Puerto Rico,8868.0,3663,413.0,102906.0,0.0,27939.0,0.8,50.0,49.1,2.0,17.5,80.5,12.8,110.0,111.0,11646.6,14115.333330000001,-0.2,93.6,-0.2,17.9,20.4,6.3666666670000005,2.46,6.4,99.3,99.3,2.126666667,83.2,75.2,90.4,89.1,83.9,78.8,98.8,70.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Qatar,11607.0,2639,227.3,164641.0,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154.0,154.0,57254.0,32058.0,6.6,99.2,6.0,13.9,2.8,2.2,2.0,3.6,98.0,98.0,1.4113333330000002,79.4,76.8,103.6,102.4,103.6,82.0,43.9,6.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Republic of Korea,100284.0,50982,524.3,1377873.0,2.6,27396.7,2.3,38.0,59.7,5.0,24.7,70.3,3.6,104.0,104.0,495418.0,406182.0,0.4,82.5,0.7,13.5,20.1,7.4,2.2,5.1,100.0,100.0,0.574666667,84.4,77.9,98.7,99.3,98.4,99.3,80.2,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
166,Romania,238391.0,19679,85.5,177956.0,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100.0,100.0,63581.0,74605.0,-0.6,54.6,0.0,15.3,24.9,5.6,2.7,3.1,92.2,63.3,3.216,78.4,71.4,89.0,90.5,92.0,92.5,59.0,47.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
167,Russian Federation,17098246.0,143990,8.8,1326016.0,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120.0,120.0,285491.0,182257.0,0.1,74.0,-0.1,17.6,21.1,7.1,3.3,3.9,77.0,58.7,2.0106666669999997,75.9,64.7,100.9,100.1,103.4,105.5,88.3,72.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
177,Saudi Arabia,2206714.0,32938,15.3,653219.0,3.4,20710.6,2.3,46.0,51.8,5.9,22.7,71.4,5.5,96.0,96.0,182329.0,135904.0,2.8,83.1,2.1,25.2,5.6,4.7,2.6,4.413333333,100.0,100.0,1.284,75.6,72.7,111.1,107.9,93.7,122.6,61.8,64.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,South Africa,1221037.0,56717,46.8,314571.0,1.3,5773.0,2.4,28.9,68.7,6.1,26.2,67.7,26.0,125.0,126.0,74111.0,74744.0,1.4,64.8,1.6,29.0,8.4,8.8,0.8,6.0,69.6,60.5,0.47,63.0,56.1,97.3,102.2,111.5,88.0,23.3,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
