,country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,clusters
0,Afghanistan,0.03818309784524097,0.025206524792907636,0.0020908982391017223,0.0011219954520291086,0.4724264705882352,0.002826735353914707,0.3290960451977401,0.25428194993412384,0.48546144121365353,0.6754675467546756,0.15355086372360843,0.27007299270072993,0.26688102893890675,0.5515151515151515,0.5515151515151515,0.0006880665753963816,0.0015855729310206876,0.6179775280898878,0.267,0.5360824742268042,0.8191214470284238,0.05483870967741934,0.4294871794871794,0.04,0.19999999999999996,0.3433014354066986,0.24819773429454173,0.3373740554156171,0.3585434173669466,0.3893805309734515,0.43883495145631063,0.7560270009643201,0.19345412039742843,0.4052741151977794,0.02740937223695844,0.1088495575221239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
32,Burkina Faso,0.015964619996694396,0.013616021386064435,0.0026992995683431074,0.0006116447016250001,0.5919117647058822,0.0027552845542857785,0.4872881355932203,0.23451910408432147,0.36409608091024026,0.877887788778878,0.055662188099808066,0.10705596107055959,0.08360128617363345,0.5878787878787879,0.6060606060606061,0.0009528164716908741,0.0016438039525972815,0.5955056179775282,0.299,0.731958762886598,0.8708010335917313,0.04838709677419355,0.22435897435897434,0.0,0.2695652173913043,0.4066985645933014,0.039134912461380025,0.14341939546599494,0.24089635854341718,0.3008849557522124,0.3902912621359223,0.3539054966248796,0.1496201052016365,0.1582234559333796,0.028293545534924837,0.05575221238938052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
33,Burundi,0.0016276523334615726,0.007706900808504479,0.016288212801842145,0.00014980637996652918,0.4411764705882353,0.0005910929787484063,0.5127118644067796,0.13043478260869565,0.4412136536030341,1.0,0.011516314779270634,0.0,0.045016077170418015,0.4545454545454546,0.5333333333333333,5.8046768706279104e-05,0.00027737524781522543,0.5955056179775282,0.121,0.711340206185567,0.8656330749354004,0.06451612903225808,0.3846153846153846,0.1475555556,0.3826086956521739,0.32775119617224885,0.47064881565396505,0.1875,0.20448179271708655,0.18879056047197662,0.7631067961165048,0.6740597878495661,0.19812974868497954,0.22345593337959752,0.015915119363395222,0.059292035398230095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
47,Comoros,0.00013071516224529697,0.0005767937362896199,0.016838854511218842,5.799314339192803e-05,0.6047794117647058,0.007230112319476013,0.4336158192090395,0.0,0.6371681415929203,0.67986798679868,0.061420345489443376,0.3223844282238443,0.6334405144694535,0.4424242424242424,0.4424242424242424,9.438498976630749e-06,8.534623009699244e-05,0.5280898876404495,0.28300000000000003,0.40206185567010316,0.7312661498708011,0.0806451612903226,0.3333333333333333,0.1848888889333333,0.2869565217391304,0.3815789473684211,0.2883625128733265,0.18970403022670027,0.38655462184873923,0.39528023598820083,0.5203883495145631,0.5168756027000964,0.32612507305669197,0.3199167244968772,0.0654288240495137,0.07787610619469026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
58,Djibouti,0.0013568643239780266,0.0006782470010982493,0.0015864642256167762,9.447448980864757e-05,0.6360294117647058,0.010698723865098528,0.046610169491525424,0.22924901185770752,0.7635903919089759,0.24862486248624865,0.420345489443378,0.5705596107055961,0.20257234726688106,0.6,0.6,6.323794314342602e-05,0.00043828845247726323,0.4494382022471911,0.773,0.288659793814433,0.5064599483204135,0.12903225806451613,0.5833333333333333,0.02666666666666667,0.3553623188695652,0.5191387559808613,0.022657054582904224,0.1065176322418136,0.35014005602240883,0.3598820058997052,0.14563106796116504,0.14850530376084858,0.21566335476329632,0.2817487855655795,0.030061892130857644,0.04336283185840708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
65,Eritrea,0.006877898469819653,0.0035955604618890455,0.0019291713034805945,0.00026335318461917604,0.6047794117647058,0.004549231077200523,0.24293785310734461,0.25691699604743085,0.561314791403287,0.624862486248625,0.10748560460652588,0.35401459854014594,0.22508038585209006,0.4545454545454546,0.4545454545454546,7.550799181304599e-06,0.0014775566085541815,0.4831460674157304,0.226,0.6494845360824743,0.7829457364341084,0.0935483870967742,0.11538461538461536,0.3084444444,0.30608695652173906,0.3373205741626795,0.045314109165808455,0.14571788413098238,0.4173669467787111,0.40117994100294996,0.0,0.0,0.1256575102279369,0.1429562803608605,0.009725906277630415,0.021238938053097345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
67,Ethiopia,0.06458557211072995,0.07446243958919231,0.004039322749203879,0.0033201351805757346,0.6930147058823528,0.002706272848755191,0.5720338983050848,0.15810276679841898,0.36156763590391905,0.7733773377337735,0.12284069097888677,0.18004866180048665,0.1736334405144695,0.7515151515151515,0.7454545454545455,0.0008135986117855706,0.008499062080492163,0.550561797752809,0.195,0.6288659793814434,0.751937984496124,0.0935483870967742,0.21794871794871795,0.12711111106666667,0.3043478260869565,0.1291866028708134,0.2605561277033986,0.08312342569269522,0.4145658263305321,0.415929203539823,0.49805825242718443,0.5178399228543876,0.1624780829924021,0.16377515614156835,0.04155614500442086,0.08761061946902655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
87,Guinea-Bissau,0.002112789814814923,0.0013196019059024515,0.002545273915370605,5.239342304528871e-05,0.6047794117647058,0.0022763870460290776,0.635593220338983,0.1383399209486166,0.32364096080910243,0.6589658965896591,0.072936660268714,0.33819951338199516,0.19935691318327975,0.6242424242424243,0.6303030303030303,0.0004176535797159106,9.379195078367397e-05,0.550561797752809,0.493,0.5463917525773196,0.7751937984496124,0.0806451612903226,0.2628205128205128,0.21333333333333335,0.10434782608695653,0.20454545454545459,0.0576725025746653,0.14215994962216624,0.196078431372549,0.19174041297935096,0.5941100320388346,0.5441337193828352,0.38044028831092924,0.40379366183206117,0.20194518125552607,0.16572271389380533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
88,Guinea,0.01437907724570111,0.009021536470675039,0.0019907815646695954,0.0004902250228216327,0.5183823529411764,0.0033032708522663192,0.2796610169491526,0.3794466403162055,0.4108723135271808,0.7645764576457647,0.1036468330134357,0.20194647201946467,0.20900321543408362,0.5818181818181818,0.5878787878787879,0.0008272844353016852,0.0009250286709991733,0.5168539325842697,0.37200000000000005,0.5154639175257731,0.7958656330749354,0.09032258064516131,0.2628205128205128,0.19022222226666666,0.19130434782608696,0.21172248803827753,0.09165808444902164,0.13617758186397985,0.2156862745098036,0.2831858407079646,0.36796116504854365,0.43780135004821596,0.14085330216247807,0.23941707147814018,0.05393457117595048,0.12300884955752213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
107,Kenya,0.03462097808161141,0.03525962103303545,0.003357759234800556,0.003513186925595518,0.619485294117647,0.00727617151262524,0.4519774011299435,0.19762845849802374,0.4310998735777497,0.6787678767876788,0.12667946257197693,0.2822384428223844,0.3376205787781351,0.5575757575757576,0.5575757575757576,0.002684309108953785,0.00627116986566859,0.5617977528089888,0.256,0.5670103092783505,0.7493540051679586,0.061290322580645165,0.2692307692307692,0.02666666666666667,0.3739130434782608,0.17703349282296654,0.2760041194644696,0.06187027707808564,0.4789915966386551,0.44837758112094406,0.6097087378640775,0.5409836065573771,0.266900448100526,0.3244043488549619,0.13409961688770994,0.13840707964601773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
115,Liberia,0.006513475124875382,0.00335647129936801,0.0018868142489131563,0.00011199440693278644,0.5220588235294117,0.001838824711111426,1.0,0.09749670619235837,0.037926675094816675,0.4961496149614961,0.1861804222648752,0.44647201946472015,0.12218649517684889,0.4242424242424242,0.5272727272727272,0.0003025038922010155,0.0003227154325542526,0.550561797752809,0.49700000000000005,0.4742268041237114,0.7829457364341084,0.0806451612903226,0.5448717948717948,0.3484444444,0.15652173913043477,0.13875598086124402,0.030895983522142127,0.9718198992443324,0.3053221288515404,0.35398230088495586,0.4194174757281553,0.4368370298939248,0.15137346580946814,0.20541290770298404,0.0742705570291777,0.11681415929203538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
