,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,ClusterGMM
128,Mauritania,1030700.0,4420,4.3,5023.0,1.2,1235.0,20.9,41.7,37.4,40.3,9.5,50.2,12.0,125.0,125.0,1623.0,2174.0,2.9,59.9,3.5,39.9,5.0,3.8,0.76,2.9,57.5,13.8,5.02,64.1,61.2,105.0,100.0,29.5,31.7,3.6,7.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
138,Mozambique,799380.0,29669,37.7,14806.0,6.6,529.2,24.6,21.0,54.4,75.0,4.1,21.0,24.1,137.0,137.0,3352.0,5295.0,2.9,32.2,3.3,44.8,4.8,7.0,0.1,6.5,42.4,10.1,12.54,58.1,54.0,101.2,110.4,31.1,33.8,5.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
140,Namibia,824116.0,2534,3.1,11491.0,5.3,4673.6,6.6,30.6,62.8,29.1,14.6,56.3,24.9,88.0,89.0,4816.0,6721.0,2.2,46.7,4.2,36.7,5.5,5.5,0.793333333,3.86,54.5,16.8,1.24,64.3,59.1,109.5,113.3,45.29333333,51.24,19.16666667,19.20666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
142,Nepal,147181.0,29305,204.4,20658.0,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3.0,139.0,139.0,703.0,5249.0,1.2,18.6,3.2,30.9,8.8,5.8,2.28,3.7,56.0,43.5,5.73,70.4,67.4,141.2,130.7,72.2,67.1,15.1,14.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,Niger,1267000.0,21477,17.0,7143.0,3.6,359.0,39.6,19.1,41.3,62.3,14.4,23.3,2.7,148.0,148.0,927.0,1861.0,3.8,18.7,5.1,50.2,4.2,6.0,0.986666667,6.7,37.9,4.6,12.26,59.5,57.6,66.8,77.9,17.2,24.2,0.9,2.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
148,Nigeria,923768.0,190886,209.6,494583.0,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,5.4,116.0,117.0,104084.0,36533.0,2.7,47.8,4.7,44.0,4.5,3.7,1.4333333330000002,4.833333333,32.8,25.4,0.52,52.6,51.2,92.8,94.5,53.5,57.8,8.3,11.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
153,Pakistan,796095.0,197016,255.6,266458.0,5.5,1410.4,25.5,19.0,55.5,42.1,19.8,38.1,5.9,135.0,138.0,20534.0,46998.0,2.1,38.8,2.8,34.8,6.7,2.6,0.8,2.6,83.1,51.1,1.32,66.8,65.0,85.2,99.7,39.2,49.5,9.2,10.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,Papua New Guinea,462840.0,8251,18.2,21315.0,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26.0,2.5,84.0,83.0,8760.0,8874.0,2.2,13.0,2.1,35.9,6.1,4.3,1.086666667,3.94,56.4,13.3,3.51,67.4,62.6,109.3,119.8,34.6,45.8,15.44,17.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
168,Rwanda,26338.0,12208,494.9,8096.0,6.9,697.3,34.6,15.1,50.3,75.0,7.2,17.8,2.4,139.0,139.0,622.0,1778.0,2.5,28.8,6.4,40.1,4.9,7.5,1.26,3.6,58.5,62.9,13.67,67.1,63.1,133.4,131.7,38.2,35.2,6.9,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
176,Sao Tome and Principe,964.0,204,212.8,334.0,4.0,1752.8,12.3,14.7,73.0,22.2,13.5,64.3,13.6,119.0,119.0,10.0,139.0,2.2,65.1,3.6,42.8,4.3,8.1,1.32,3.8,40.8,23.3,12.39,68.2,64.0,112.2,117.7,91.7,80.8,13.6,13.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,Senegal,196712.0,15851,82.3,13633.0,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,9.3,126.0,127.0,2640.0,5478.0,3.0,43.7,3.6,42.9,4.7,4.7,1.84,7.4,65.4,33.8,6.49,67.5,63.8,86.9,77.6,49.1,50.2,7.8,12.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
181,Sierra Leone,72300.0,7557,104.7,4483.0,-20.3,694.8,51.4,17.6,31.1,68.0,6.5,25.5,3.1,168.0,168.0,466.0,958.0,2.3,39.9,2.7,42.1,4.2,11.1,2.0066666669999997,2.7,22.8,6.9,21.56,50.7,49.6,128.2,127.0,40.1,46.5,37.39333333,31.13333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
186,Solomon Islands,28896.0,611,21.8,1075.0,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,31.4,118.0,118.0,437.0,454.0,2.1,22.3,4.2,38.8,5.4,5.1,0.2,5.086666667,81.4,15.0,16.47,71.1,68.3,113.6,115.0,47.0,49.8,23.19333333,18.74666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
187,Somalia,637657.0,14742,23.5,1559.0,2.7,144.5,60.2,7.4,32.5,72.0,4.8,23.2,6.6,112.0,112.0,925.0,530.0,2.9,39.6,4.1,46.4,4.4,5.006666667,0.0,4.106666667,52.0,6.3,22.85,56.5,53.3,97.34,107.4733333,51.2,58.09333333,15.76666667,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
189,South Sudan,658841.0,12576,20.6,13167.0,2.0,1067.0,4.6,58.0,37.4,47.42,13.61333333,38.97333333,10.83333333,123.66666670000001,124.4,2389.0,750.0,3.3,18.8,5.1,41.7,5.1,2.7,1.0,1.8,16.4,4.5,21.07,56.0,54.1,53.1,74.9,6.6,12.3,21.52666667,21.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
193,Sudan,359992.3333,40533,23.0,79546.0,4.9,1977.0,32.4,20.1,47.6,32.9,20.4,46.7,13.4,136.4,138.6,1797.0,7658.0,2.3,33.8,2.5,40.8,5.5,8.4,3.1,4.486666667,76.21333333,62.67333333,1.09,65.1,62.1,66.6,74.1,41.5,43.9,16.8,15.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,Swaziland,17363.0,1367,79.5,4133.0,1.7,3211.7,6.6,42.1,51.3,22.0,17.0,61.0,25.1,114.0,115.0,1881.0,733.0,1.8,21.3,1.3,37.2,4.8,9.3,1.146666667,7.0,63.1,56.0,2.39,58.2,51.6,108.0,117.5,65.8,66.2,5.5,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
202,Timor-Leste,14919.0,1296,87.2,2873.0,4.3,2425.4,5.2,79.9,14.9,50.8,2.0,47.2,4.3,111.0,117.0,94.0,647.0,2.2,32.8,3.8,43.6,5.4,1.5,0.1,7.8,69.0,26.8,8.89,69.5,66.1,136.2,137.5,79.6,74.1,20.5,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
203,Togo,56785.0,7798,143.4,4086.0,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140.0,143.0,715.0,1716.0,2.6,40.0,3.8,41.6,4.6,5.2,1.9,5.2,24.7,2.9,5.51,59.8,58.3,118.5,125.1,74.93333333,75.19333333,6.4,14.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
212,Uganda,241550.0,42863,214.5,25282.0,5.4,647.7,25.6,21.5,52.9,72.0,7.4,20.5,2.4,93.0,90.0,2755.0,3750.0,3.4,16.1,5.4,47.7,3.3,7.2,1.686666667,2.2,28.5,17.3,6.35,60.7,56.5,110.9,108.9,22.1,24.3,4.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
216,United Republic of Tanzania,947303.0,57310,64.7,45628.0,7.0,877.3,31.1,26.1,42.9,66.9,6.4,26.7,2.7,176.0,180.0,4742.0,7876.0,3.1,31.6,5.4,44.9,4.7,5.6,0.0,3.5,31.3,8.3,5.85,64.8,60.8,82.9,80.5,30.8,33.7,2.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
221,Vanuatu,12189.0,276,22.7,737.0,-1.0,2783.0,26.7,8.4,64.9,61.4,6.8,31.8,5.3,123.0,122.0,50.0,416.0,2.3,26.1,3.4,35.9,6.7,5.0,0.2,5.5,65.1,55.4,12.32,73.6,69.4,118.7,120.6,56.4,53.4,28.46666667,22.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
