,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,ClusterGMM
2,Algeria,2381741.0,41318,17.3,164779.0,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160.0,161.0,29992.0,47091.0,2.0,70.7,2.8,29.3,9.4,7.2,1.6533333330000002,4.413333333,89.8,82.2,0.05,76.5,74.1,112.7,119.5,101.7,98.1,45.1,28.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,American Samoa,199.0,56,278.2,1512.333333,2.4866666669999997,29491.96,5.2533333330000005,15.41333333,79.32,8.486666667,17.28666667,73.12666667,9.173333332999999,112.0,112.0,52.33333333,445.8,0.0,87.2,-0.1,33.3,9.0,7.586666667,2.02,4.8,62.5,62.5,12.714,77.8,71.1,102.05333329999999,106.36,97.67333333,96.37333333,50.08666667,34.67333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Argentina,2780400.0,44271,16.2,632343.0,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,119.0,119.0,57733.0,55610.0,1.0,91.8,1.0,24.9,15.4,4.8,3.8,5.3,96.2,98.3,0.01,79.8,72.2,109.8,110.2,110.3,103.4,102.9,63.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Armenia,29743.0,2930,102.9,10529.0,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,135.0,135.0,1776.0,3230.0,0.3,62.7,-0.1,20.0,16.9,4.5,2.8,2.8,96.2,78.2,3.17,77.0,70.6,98.5,98.5,89.0,88.1,46.9,41.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Azerbaijan,86600.0,9828,118.9,53049.0,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131.0,136.0,9143.0,8532.0,1.3,54.6,1.6,23.3,10.1,6.0,3.4,2.6,91.6,86.6,0.14,74.6,68.6,105.6,107.4,92.08666667,89.76,27.5,23.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bahrain,771.0,1493,1963.9,31126.0,2.9,22600.2,0.3,40.7,59.0,1.0,33.4,65.6,1.3,167.0,167.0,12892.0,14749.0,2.0,88.8,1.7,19.7,4.6,5.0,0.9,2.7,99.2,99.2,2.898666667,77.5,75.6,101.8,100.6,101.9,102.4,59.4,30.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Bangladesh,147570.0,164670,1265.0,194466.0,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4.0,141.0,140.0,36031.0,52624.0,1.2,34.3,3.6,28.4,7.3,2.8,0.4,1.9,57.7,62.1,1.24,72.9,69.8,125.1,116.0,67.4,59.8,11.4,15.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Belize,22966.0,375,16.4,1721.0,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97.0,97.0,246.0,952.0,2.2,44.0,1.9,31.4,6.2,5.8,1.146666667,6.4,93.5,88.2,1.68,72.7,67.2,110.4,115.8,81.8,79.8,28.7,17.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,Bolivia (Plurinational State of),1098581.0,11052,10.2,32998.0,4.8,3076.8,12.6,31.0,56.5,29.5,21.1,49.4,3.8,142.0,143.0,6969.0,8374.0,1.6,68.5,2.3,31.6,9.5,6.3,0.5,7.3,60.8,27.5,2.38,70.2,65.3,95.7,98.5,85.7,87.1,18.24666667,18.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Brazil,8515767.0,209288,25.0,1772591.0,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,135.0,136.0,185235.0,137552.0,0.9,85.7,1.2,21.7,12.6,8.3,1.9,6.0,88.0,51.5,0.06,78.4,71.0,113.8,116.8,102.2,97.2,59.3,42.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Brunei Darussalam,5765.0,429,81.3,12930.0,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,157.0,157.0,4875.0,2679.0,1.4,77.2,1.8,23.0,8.0,2.6,1.5,4.4,93.42,91.03333333,3.289333333,78.4,75.1,108.2,108.1,96.3,95.9,38.6,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Chile,756102.0,18055,24.3,240796.0,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111.0,111.0,59884.0,58804.0,0.9,89.5,1.1,20.3,16.0,7.8,0.7,4.9,100.0,90.9,0.02,81.3,76.2,100.0,103.3,101.3,100.0,94.4,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,China,9600000.0,1409517,150.1,11158457.0,6.9,8109.1,9.2,41.1,49.7,27.0,23.9,49.1,4.6,132.0,133.0,2118981.0,1588696.0,0.5,55.6,3.0,17.7,16.2,5.5,1.5,4.7,86.6,63.7,0.0,77.2,74.2,104.3,104.0,95.6,93.2,47.3,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
46,Colombia,1141748.0,49066,44.2,292080.0,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,114.0,115.0,31045.0,44831.0,1.0,76.4,1.7,23.5,11.6,7.2,1.046666667,4.5,85.2,67.9,0.47,77.4,70.2,111.6,115.4,101.5,94.8,59.9,51.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Costa Rica,51100.0,4906,96.1,52958.0,3.7,11015.0,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127.0,129.0,9908.0,15322.0,1.1,76.8,2.7,21.6,13.6,9.3,1.2,7.2,95.2,92.3,0.22,81.7,76.7,109.5,110.1,125.6,120.7,60.9,46.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,Cyprus,9251.0,1180,127.7,19561.0,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,80.0,80.0,1920.0,6604.0,0.9,66.9,0.9,16.8,18.5,7.4,2.5,6.1,100.0,100.0,2.991333333,82.2,77.7,99.3,99.3,99.4,100.1,69.4,51.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Democratic People's Republic of Korea,120538.0,25491,211.7,16283.0,-1.1,648.0,21.6,46.2,32.2,58.9,19.3,21.8,4.3,104.0,103.0,1010.0,2757.0,0.5,60.9,0.7,20.6,13.5,7.666666667,2.8,4.233333333,87.9,72.5,8.932666667000001,74.1,67.2,76.9,76.7,93.9,92.9,19.8,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61,Ecuador,257217.0,16625,66.9,100177.0,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118.0,119.0,16798.0,16189.0,1.6,63.7,1.9,28.4,10.5,9.2,1.7,5.0,87.0,80.7,0.31,78.4,72.8,107.9,107.4,109.2,105.3,45.3,34.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Egypt,1002000.0,97553,98.0,315917.0,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120.0,122.0,22507.0,58053.0,2.2,43.1,1.7,33.5,7.9,5.6,0.8,4.606666667,96.8,93.1,0.78,73.0,68.7,103.8,104.1,85.9,86.3,35.6,36.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
