,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14 / 60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia
27,Botswana,SouthernAfrica,582000,2292,4.0,14391,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110,110,7321,6103,1.8,57.4,1.3,31.4/6.4,5.4,0.4,...,78.5/43.1,0.46,66.1,59.8,105.8,109.4,...,...,27.7,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,Brazil,SouthAmerica,8515767,209288,25.0,1772591,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,135,136,185235,137552,0.9,85.7,1.2,21.7/12.6,8.3,1.9,6,88.0/51.5,0.06,78.4,71.0,113.8,116.8,102.2,97.2,59.3,42.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,British Virgin Islands,Caribbean,151,31,208.0,908,-1.1,30144.5,1,11.1,87.8,...,...,...,-99,103,103,~0,444,2,46.2,1.8,.../...,-99.0,-99,6.6,97.5/97.5,-99,...,...,-99,,-99,,-99,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Brunei Darussalam,South-easternAsia,5765,429,81.3,12930,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,157,157,4875,2679,1.4,77.2,1.8,23.0/8.0,2.6,1.5,4.4,-99,-99,78.4,75.1,108.2,108.1,96.3,95.9,38.6,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,Bulgaria,EasternEurope,111002,7085,65.3,48953,3,6846.8,5.1,27.6,67.2,6.5,29.4,64.1,8.1,117,119,26088,28875,-0.6,73.9,-0.3,14.2/27.7,8.4,4,4.1,86.8/83.7,-99,77.8,70.8,96.7,97.7,97.4,100.5,82.9,65.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,Burkina Faso,WesternAfrica,272967,19193,70.2,11065,4.1,611.1,34.5,21.8,43.7,80,4.9,15.1,2.9,131,134,2019,3699,3,29.9,5.9,45.2/3.9,5.0,~0.0,4.1,50.4/6.7,9.11,59.3,58.0,86.1,89.9,32.2,35.1,3.8,7.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,Burundi,EasternAfrica,27830,10864,423.1,2735,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,109,122,123,625,3,12.1,5.7,45.0/4.4,7.5,...,5.4,43.8/48.6,11.91,58.0,54.2,124.5,123.1,40.5,44.5,2.4,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,Cabo Verde,WesternAfrica,4033,546,135.6,1603,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,98,98,29,485,1.2,65.5,2,30.2/6.9,4.8,0.3,5,81.6/54.3,9.81,74.0,70.1,106.9,112.8,98.3,87.7,25.2,18.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,Cambodia,South-easternAsia,181035,16005,90.7,18050,7,1158.7,28.2,29.4,42.3,42.4,19.6,38,0.3,175,177,13204,15313,1.6,20.7,2.6,31.3/7.1,5.7,0.2,1.9,88.1/30.5,3.97,69.6,65.5,116.2,117.1,...,...,11.8,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,Cameroon,MiddleAfrica,475650,24054,50.9,28416,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155,160,2130,4899,2.7,54.4,3.6,42.7/4.8,4.1,...,3,61.8/26.8,2.31,57.7,55.1,110.7,123.5,53.5,62.6,15.2,19.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Canada,NorthernAmerica,9984670,36624,4.0,1552808,0.9,43205.6,1.8,28.6,69.6,2.1,19.5,78.4,7.1,109,109,388911,402954,1,81.8,1.2,16.0/23.5,10.4,2.5,5.3,100.0/99.0,-99,83.8,79.7,101.1,100.1,110.0,109.8,...,...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,Cayman Islands,Caribbean,264,62,256.5,3726,0.7,62132.0,0.3,7.5,92.2,0.8,15.5,83.6,6.3,104,104,18,991,1.5,100.0,1.5,18.3/6.7,-99.0,-99,-99,95.6/...,-99,...,...,-99,,-99,,-99,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Central African Republic,MiddleAfrica,622984,4659,7.5,1633,4.8,333.2,34.9,24.8,40.4,72.2,4.3,23.4,6.9,114,113,213,147,0.4,40.0,2.6,43.2/5.5,4.2,...,1.2,43.6/7.2,32.25,51.0,47.8,79.8,107.3,11.8,23.0,1.5,4.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Chad,MiddleAfrica,1284000,14900,11.8,10009,6.6,713.0,25.4,39.0,35.6,76.6,2,21.4,5.8,146,151,1990,1371,3.3,22.5,3.4,47.1/4.0,3.6,~0.0,2.8,31.4/6.5,5.74,52.8,50.5,88.0,114.6,14.0,30.7,1.1,5.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Channel Islands,NorthernEurope,180,165,870.1,-99,-99,-99.0,-99,-99.0,-99.0,5,24.5,70.5,8.7,-99,-99,-99,-99,0.5,31.5,0.8,14.5/24.5,-99.0,-99,-99,-99,-99,82.4,78.7,-99,,-99,,-99,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,Chile,SouthAmerica,756102,18055,24.3,240796,2.3,13416.2,3.9,32.8,63.3,9.6,22.9,67.5,6.8,111,111,59884,58804,0.9,89.5,1.1,20.3/16.0,7.8,...,4.9,100.0/90.9,0.02,81.3,76.2,100.0,103.3,101.3,100.0,94.4,83.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,"China, Hong Kong SAR",EasternAsia,1106,7365,7014.2,309236,2.4,42431.0,0.1,7.2,92.7,0.2,14.9,84.9,3.5,34,34,516588,547124,0.6,100.0,0.7,11.5/23.5,-99.0,-99,3.3,-99,-99,86.4,80.5,-99,,98.8,102.8,73.7,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"China, Macao SAR",EasternAsia,30,623,20821.6,46178,-20.3,78586.4,-99,6.6,93.4,0.3,17.7,82.1,3.2,86,86,1257,8924,2.3,100.0,1.8,13.3/16.1,-99.0,-99,2,-99,-99,86.2,80.3,99.7,101.1,95.9,97.0,86.3,65.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,China,EasternAsia,9600000,1409517,150.1,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,132,133,2118981,1588696,0.5,55.6,3,17.7/16.2,5.5,1.5,-99,86.6/63.7,0,77.2,74.2,104.3,104.0,95.6,93.2,47.3,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46,Colombia,SouthAmerica,1141748,49066,44.2,292080,3.1,6056.1,6.8,34.0,59.2,13.5,16.6,69.9,10.5,114,115,31045,44831,1,76.4,1.7,23.5/11.6,7.2,...,4.5,85.2/67.9,0.47,77.4,70.2,111.6,115.4,101.5,94.8,59.9,51.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Comoros,EasternAfrica,2235,814,437.4,1079,4.8,1368.9,30.7,4.0,65.3,62,5.2,32.8,20,107,107,20,193,2.4,28.3,2.7,39.8/4.9,6.7,...,4.3,48.3/30.9,12.05,64.5,61.2,99.5,106.8,62.4,58.4,8.0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,Congo,MiddleAfrica,342000,5261,15.4,8493,1.2,1838.1,4.7,70.0,25.3,40.7,25.8,33.5,11.5,106,106,2540,9793,2.6,65.4,3.2,42.3/5.2,5.2,...,...,20.0/5.6,1.05,64.1,61.0,114.8,107.0,50.6,58.4,8.3,11.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Cook Islands,Polynesia,236,17,72.4,294,5.5,14118.7,8.1,9.0,82.9,4.3,11.7,84,8.2,91,91,14,98,-1.2,74.5,0.9,26.9/14.2,3.4,...,3.9,97.6/97.6,-99,79.6,71.7,99.3,106.0,90.1,83.0,49.5,40.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Costa Rica,CentralAmerica,51100,4906,96.1,52958,3.7,11015.0,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127,129,9908,15322,1.1,76.8,2.7,21.6/13.6,9.3,1.2,7.2,95.2/92.3,0.22,81.7,76.7,109.5,110.1,125.6,120.7,60.9,46.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Croatia,SouthernEurope,56594,4189,74.9,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64,11.7,91,91,13648,21830,-0.4,59.0,0.1,14.7/26.8,7.8,3.1,4.6,97.8/95.8,...,80.4,73.6,98.1,97.8,100.6,95.9,79.8,58.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Cuba,Caribbean,109884,11485,107.9,87206,4.4,7656.6,5,20.5,74.5,12.9,11.7,75.3,3,100,101,18000,4911,0.2,77.1,0.1,16.0/20.1,11.1,7.5,...,94.4/89.1,...,81.3,77.1,94.9,100.1,102.7,98.2,43.0,30.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Cyprus,WesternAsia,9251,1180,127.7,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,80,80,1920,6604,0.9,66.9,0.9,16.8/18.5,7.4,2.5,6.1,100.0/100.0,-99,82.2,77.7,99.3,99.3,99.4,100.1,69.4,51.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Czechia,EasternEurope,78868,10618,137.5,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,3.9,102,102,161248,140316,0.1,73.0,0.3,15.4/25.6,7.4,3.7,4.1,99.1/99.2,-99,81.2,75.1,99.9,99.6,106.1,105.1,76.3,54.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,Democratic People's Republic of Korea,EasternAsia,120538,25491,211.7,16283,-1.1,648.0,21.6,46.2,32.2,58.9,19.3,21.8,4.3,104,103,1010,2757,0.5,60.9,0.7,20.6/13.5,-99.0,2.8,-99,87.9/72.5,-99,74.1,67.2,76.9,76.7,93.9,92.9,19.8,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,Democratic Republic of the Congo,MiddleAfrica,2344858,81340,35.9,37569,7,486.2,19.9,44.2,35.9,65.3,5.9,28.9,3.6,104,104,5103,5906,3.3,42.5,4,46.3/4.7,4.3,...,2.2,28.5/28.7,8.01,59.5,56.7,101.8,112.0,33.3,53.6,4.2,9.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Denmark,NorthernEurope,42921,5734,135.1,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6,105,105,94355,85133,0.5,87.7,0.6,16.5/25.3,10.8,3.6,8.6,99.6/99.6,-99,82.2,78.1,100.7,102.3,133.4,128.3,96.3,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
58,Djibouti,EasternAfrica,23200,957,41.3,1737,6.5,1956.3,3.3,21.4,75.3,22.8,23.9,53.2,6.6,133,133,134,987,1.7,77.3,1.6,31.1/6.4,10.6,0.2,...,59.8/5.1,...,63.2,60.0,60.9,68.6,43.5,52.9,4.0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,Dominica,Caribbean,750,74,98.6,512,-1.8,7051.1,15.4,13.2,71.5,...,...,...,...,110,111,23,214,0.5,69.5,0.8,.../...,5.5,...,-99,.../...,2.36,...,...,114.8,117.2,99.8,101.2,-99,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Dominican Republic,Caribbean,48671,10767,222.8,67103,7,6373.6,6.6,28.0,65.4,13.1,16.9,70,14.4,136,138,3747,22725,1.2,79.0,2.6,29.3/10.2,4.4,1.5,...,86.2/75.7,0.43,76.4,70.2,98.7,108.1,81.7,74.1,65.0,35.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ecuador,SouthAmerica,257217,16625,66.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118,119,16798,16189,1.6,63.7,1.9,28.4/10.5,9.2,1.7,5,87.0/80.7,0.31,78.4,72.8,107.9,107.4,109.2,105.3,45.3,34.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Egypt,NorthernAfrica,1002000,97553,98.0,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,11.5,120,122,22507,58053,2.2,43.1,1.7,33.5/7.9,5.6,0.8,...,96.8/93.1,0.78,73.0,68.7,103.8,104.1,85.9,86.3,35.6,36.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
