country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50
Morocco,446550,35740,80.1,100359,4.4,2919.3,13.7,28.9,57.4,32.6,20.7,46.8,10.4,130,130,22858,41696,1.4,60.2,2.3,27.4,10.7,5.9,0.6,4.706666667,84.1,65.5,1.51,76,73.7,111.6,117.7,63.5,74.4,27.5,28.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,919,4321
Sao Tome and Principe,964,204,212.8,334,4,1752.8,12.3,14.7,73,22.2,13.5,64.3,13.6,119,119,10,139,2.2,65.1,3.6,42.8,4.3,8.1,1.32,3.8,40.8,23.3,12.39,68.2,64,112.2,117.7,91.7,80.8,13.6,13.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,443
Liberia,111369,4732,49.1,2053,0.3,455.9,70.8,11.4,17.9,45.3,11.7,43,4.1,104,121,641,727,2.6,49.7,3.4,41.8,4.9,10,2.613333333,2.8,28,5.9,61.73,61.6,59.8,89.1,98.5,32.5,41.9,9,14.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,31,166
Antigua and Barbuda,442,102,231.8,1356,4.1,14764.5,1.9,18.3,79.8,8.446666667,17.80666667,71.5,11.66666667,88,88,61,491,1.1,23.8,-0.9,23.9,10.9,5.5,1.38,5.353333333,91.4,91.4,0.12,78.2,73.3,94.1,100,103.8,101.6,31.1,15.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,25
Togo,56785,7798,143.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,6.8,140,143,715,1716,2.6,40,3.8,41.6,4.6,5.2,1.9,5.2,24.7,2.9,5.51,59.8,58.3,118.5,125.1,74.93333333,75.19333333,6.4,14.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,65,123
Turkey,783562,80745,104.9,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,10.8,120,122,142606,198602,1.6,73.4,2,25,12,5.4,1.7,4.8,98.3,85.5,0.3,78.1,71.5,102.1,102.8,101.1,103.8,88.3,101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23934,117589
Portugal,92226,10330,112.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,10.5,104,104,55658,67580,-0.4,63.5,1,13.6,27.9,9.5,4.4,5.1,99.6,99.8,1.154,83.5,77.3,105.3,109.4,117.3,121,65.7,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3544,20863
Nicaragua,130373,6218,51.7,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,6.1,130,130,2225,5927,1.2,58.8,2,29,8.4,9,0.9,4.146666667,76.5,55.7,3.68,77.5,71.4,105.2866667,106.7666667,74.90666667,75.14666667,32.18666667,28.21333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,7,16
Belgium,30528,11429,377.5,455107,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108,107,398033,372713,0.6,97.9,0.5,17.1,24.6,10.6,3,6.6,99.5,99.4,0.639333333,83,78,104.2,104.2,177.7,156.4,85.4,65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,206,9151,42392
France,551500,64980,118.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,103,103,488885,560555,0.4,79.5,0.8,18.1,25.7,11.5,3.2,5.5,98.6,98.9,0.470666667,85,78.8,105,105.7,111.2,110.1,71,57.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,423,25233,112606
Comoros,2235,814,437.4,1079,4.8,1368.9,30.7,4,65.3,62,5.2,32.8,20,107,107,20,193,2.4,28.3,2.7,39.8,4.9,6.7,1.386666667,4.3,48.3,30.9,12.05,64.5,61.2,99.5,106.8,62.4,58.4,8,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,87,210
Mongolia,1564116,3076,2,11758,2.3,3973.4,14.8,34.1,51.1,28.4,20.7,51,6.3,147,149,4917,3358,1.9,72,2.8,29.7,6.6,4.7,2.9,4.6,66.4,42.6,2.21,72.7,64.5,100,101.8,92.4,90.5,79.7,57.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,16,41
Czechia,78868,10618,137.5,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,3.9,102,102,161248,140316,0.1,73,0.3,15.4,25.6,7.4,3.7,4.1,99.1,99.2,1.204666667,81.2,75.1,99.9,99.6,106.1,105.1,76.3,54.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1654,6787
Maldives,300,436,1454.4,3435,2.8,9446.5,3.1,22,74.9,7.7,22.8,69.5,2.9,65,65,140,2128,2.8,45.5,4.5,23.4,6.3,13.7,1.32,5.2,97.5,98.3,0.95,77.4,75.4,98.6,97.3,98.00666667,94.84,20.3,12.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,137
Gibraltar,6,35,3457.1,1935.066667,3.32,24172.62667,5,17.43333333,77.56666667,8.92,17.41333333,72.56666667,9.64,103.6,103.8666667,234,533,0.6,100,0.1,18.1,22.4,8.78,1.773333333,4.626666667,87.78666667,79.24,12.714,77.88666667,72.60666667,101.7333333,104.1133333,95.94666667,91.99333333,47.76,32.81333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,129,144
Bahrain,771,1493,1963.9,31126,2.9,22600.2,0.3,40.7,59,1,33.4,65.6,1.3,167,167,12892,14749,2,88.8,1.7,19.7,4.6,5,0.9,2.7,99.2,99.2,2.898666667,77.5,75.6,101.8,100.6,101.9,102.4,59.4,30.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,466,1973
Switzerland,41291,8476,214.5,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,4.6,106,106,304691,269157,1.2,73.9,1.1,14.9,24.1,11.7,4.1,5.1,99.9,99.8,0.639333333,84.8,80.5,103.8,104.1,99.4,103,58.5,56.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,87,9714,27658
Costa Rica,51100,4906,96.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,8.6,127,129,9908,15322,1.1,76.8,2.7,21.6,13.6,9.3,1.2,7.2,95.2,92.3,0.22,81.7,76.7,109.5,110.1,125.6,120.7,60.9,46.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,375,695
Mozambique,799380,29669,37.7,14806,6.6,529.2,24.6,21,54.4,75,4.1,21,24.1,137,137,3352,5295,2.9,32.2,3.3,44.8,4.8,7,0.1,6.5,42.4,10.1,12.54,58.1,54,101.2,110.4,31.1,33.8,5.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,29,91
Croatia,56594,4189,74.9,48676,1.6,11479.4,4.1,26.6,69.3,9.2,26.8,64,11.7,91,91,13648,21830,-0.4,59,0.1,14.7,26.8,7.8,3.1,4.6,97.8,95.8,1.780666667,80.4,73.6,98.1,97.8,100.6,95.9,79.8,58.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,418,1871
Timor-Leste,14919,1296,87.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2,47.2,4.3,111,117,94,647,2.2,32.8,3.8,43.6,5.4,1.5,0.1,7.8,69,26.8,8.89,69.5,66.1,136.2,137.5,79.6,74.1,20.5,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,24
Kyrgyzstan,199949,6045,31.5,6572,3.5,1106.4,15.4,25.9,58.7,29.2,21,49.8,7.7,108,110,1423,3844,1.6,35.7,1.6,31.8,7.6,6.5,1.9,5.5,89.1,95.6,12.16,74.3,66.4,106.8,107.9,92.8,91.4,53.3,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,377,895
Eritrea,117600,5069,50.2,4783,4.8,914.9,17.2,23.5,59.3,57,7.6,35.4,7.3,109,109,16,3325,2,22.6,5.1,41.8,5.3,3.3,2.313333333,4.52,44.6,7.3,9.256,65.6,61.4,45.9,53.2,28.1,32.9,1.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,35,39
Georgia,69700,3912,56.3,13965,2.8,3491.4,9,24.1,66.9,44.7,11.2,44.1,11.4,85,86,2114,7236,-1.4,53.6,-0.1,19.2,20.8,7.4,4.8,2,95.2,75.9,3.3,77,68.5,118.2,115.5,103.8,103.6,47.8,39.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,85,416
United States of America,9833517,324460,35.5,18036648,2.6,56053.8,1,19.7,79.3,1.5,17.2,81.3,4.9,111,113,1453167,2249661,0.7,81.6,1,18.9,21.5,17.1,2.6,5.4,100,100,0.918666667,81.2,76.5,100,100.3,98.5,96.7,99.6,72.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,233,69194,759687
Ecuador,257217,16625,66.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,118,119,16798,16189,1.6,63.7,1.9,28.4,10.5,9.2,1.7,5,87,80.7,0.31,78.4,72.8,107.9,107.4,109.2,105.3,45.3,34.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1211,9468
Thailand,513120,69038,135.1,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.6,129,126,213927,195666,0.4,50.4,3,17.3,16.9,4.1,2.44,4.1,89.9,96.1,0.02,78.4,70.8,99.2,106.1,125.3,132.6,57.3,40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82,1978,2938
Kiribati,726,116,143.7,162,3.7,1442.9,24.1,13.6,62.2,20.64666667,15.91333333,61.23333333,12.14,61,61,3,116,1.8,44.3,1.8,35,6.4,10.2,0.2,4.993333333,51.2,30.6,20.05,68.9,62.4,106.1,102.9,92.6,87.99333333,39.58,27.86666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,191,829
Bahamas,13940,395,39.5,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132,132,365,2904,1.4,82.9,1.5,20.5,13.5,7.7,1.553333333,5.506666667,92,92,2.862666667,78.1,72,101.2333333,104.42,98.66,95.46,42.36,25.37333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,83
Nepal,147181,29305,204.4,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,3,139,139,703,5249,1.2,18.6,3.2,30.9,8.8,5.8,2.28,3.7,56,43.5,5.73,70.4,67.4,141.2,130.7,72.2,67.1,15.1,14.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,82
Italy,302073,59360,201.8,1821580,0.7,30462.4,2.2,23.5,74.2,3.5,27.1,69.4,11.4,89,89,461529,404578,-0.1,69,0.4,13.5,29.4,9.2,3.9,4.1,99.5,99.6,0.568666667,84.7,79.9,100.6,101.4,101.7,104.1,72.2,53.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3858,74386,178972
United Arab Emirates,83600,9400,112.4,370296,3.8,40438.8,0.7,44.9,54.4,3.5,21.1,75.4,3.7,70,70,195613,201908,2,85.5,2.9,13.9,2.4,3.6,1.6,5.153333333,98,95.2,0.958,78.2,76,116,116.7,110.24,106.4933333,73.52,56.38666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,1024,10839
Guatemala,108889,16914,157.8,63794,4.1,3903.5,10.8,27.2,62,32,18.5,49.4,2.4,158,158,10572,16987,2.1,51.6,3.4,35.1,6.9,6.2,2.833333333,3,77.5,49.3,0.66,75.6,69.2,99.8,103.8,63.3,67.9,23.5,20.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,80,688
India,3287263,1339180,450.4,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,3.4,143,142,260327,356705,1.2,32.7,2.4,27.8,9.4,4.7,0.7,3.8,62.6,28.5,0.16,69.1,66.2,115.1,102.8,74.5,73.5,26.7,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,649,17265
Chad,1284000,14900,11.8,10009,6.6,713,25.4,39,35.6,76.6,2,21.4,5.8,146,151,1990,1371,3.3,22.5,3.4,47.1,4,3.6,0,2.8,31.4,6.5,5.74,52.8,50.5,88,114.6,14,30.7,1.1,5.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,253
Viet Nam,330967,95541,308.1,193241,6.7,2067.9,18.9,37,44.2,41.8,22.9,35.2,2.2,136,134,176632,174111,1.1,33.6,3,23.1,11.1,7.1,1.2,5.7,94.4,69.7,1.73,80.3,70.7,108.4,109.3,102.5933333,100.6866667,28.9,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,206,270
Guinea,245857,12717,51.8,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,6.8,130,131,1753,2082,2.3,37.2,3.8,42.3,5.2,5.6,1.426666667,3.2,34.1,11.8,8.65,58.4,57.4,83.8,98.6,30.7,46.8,6.7,14.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,128,1537
Colombia,1141748,49066,44.2,292080,3.1,6056.1,6.8,34,59.2,13.5,16.6,69.9,10.5,114,115,31045,44831,1,76.4,1.7,23.5,11.6,7.2,1.046666667,4.5,85.2,67.9,0.47,77.4,70.2,111.6,115.4,101.5,94.8,59.9,51.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1579,7006
Argentina,2780400,44271,16.2,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,119,119,57733,55610,1,91.8,1,24.9,15.4,4.8,3.8,5.3,96.2,98.3,0.01,79.8,72.2,109.8,110.2,110.3,103.4,102.9,63.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,820,3423
Trinidad and Tobago,5127,1369,266.9,25927,0.2,19062.9,0.5,42.5,57,4.1,31.6,64.3,4.2,95,95,4576,4826,0.5,8.4,-1.2,20.7,15,5.9,1.513333333,4.7,91.5,91.5,3.579333333,73.8,66.9,101.38,103.94,97.86,94.99333333,42.55333333,26.53333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,104,116
Grenada,345,108,317.1,954,6.2,8933.8,8.3,13.9,77.8,11.10666667,17.41333333,69.25333333,10.15333333,103,103,30,350,0.4,35.6,0.3,26.3,10.5,6.1,1.32,4.993333333,97.5,98.3,2.55,75.6,70.8,102.9,106.8,99,99.4,97.9,84.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,21
