,country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,clusters
9,Armenia,0.001739535154658554,0.002078018270101226,0.003958459281393316,0.0005819273738448152,0.5716911764705882,0.019749945821397802,0.268361581920904,0.3201581027667984,0.47914032869785084,0.38283828382838286,0.26295585412667943,0.5231143552311435,0.5241157556270097,0.6121212121212122,0.6121212121212122,0.0008381387091248105,0.0014353280051207739,0.2921348314606742,0.627,0.1134020618556701,0.2196382428940568,0.4677419354838709,0.1923076923076923,0.3733333333333333,0.15652173913043477,0.9545454545454546,0.7754891864057673,0.04990554156171285,0.7366946778711483,0.6725663716814156,0.5106796116504855,0.4368370298939248,0.4815897136177673,0.5260235947258848,0.40937223695844377,0.35929203539823007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
13,Azerbaijan,0.00506484700243522,0.0069718967361846185,0.004574561893283326,0.0029393541970042605,0.5294117647058822,0.03126238209879933,0.09463276836158192,0.6047430830039525,0.36030341340075855,0.4015401540154016,0.23416506717850283,0.5206812652068127,0.15755627009646306,0.5878787878787879,0.6181818181818182,0.004314809807166747,0.003792128588320013,0.40449438202247195,0.546,0.288659793814433,0.3049095607235142,0.24838709677419357,0.28846153846153844,0.4533333333333333,0.1391304347826087,0.8995215311004783,0.8619979402677651,0.002204030226700252,0.6694677871148456,0.6135693215339231,0.5796116504854367,0.522661523625844,0.49962984611338396,0.5375433726578766,0.23784261715296195,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
15,Bahrain,4.509234455978701e-05,0.0010585193782830418,0.07561889432685014,0.0017238822251292717,0.5698529411764706,0.13260146456424166,0.00423728813559322,0.4835309617918314,0.5575221238938053,0.008800880088008802,0.6026871401151631,0.7214111922141119,0.03215434083601287,0.8060606060606061,0.8060606060606061,0.006084056440336181,0.006555657299325232,0.4831460674157304,0.888,0.2989690721649485,0.21188630490956067,0.07096774193548387,0.22435897435897434,0.12,0.14782608695652175,0.9904306220095693,0.9917610710607621,0.04563392107997481,0.7507002801120446,0.8200589970501473,0.5427184466019417,0.4570877531340405,0.5569842197545296,0.6252602359472589,0.519893899204244,0.2646017699115044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
53,Cyprus,0.0005410496491862381,0.0008364573371284894,0.0049134183298228315,0.0010826865240512148,0.5477941176470588,0.12871418676294222,0.03248587570621469,0.08695652173913043,0.9140328697850822,0.0429042904290429,0.28214971209213047,0.8868613138686131,0.3215434083601287,0.2787878787878788,0.2787878787878788,0.0009060959017565519,0.0029351101944293805,0.35955056179775285,0.669,0.21649484536082475,0.13695090439276486,0.5193548387096775,0.3782051282051282,0.3333333333333333,0.44347826086956516,1.0,1.0,0.04709277917191436,0.8823529411764703,0.8820058997050149,0.5184466019417475,0.4445515911282546,0.5423728813559323,0.6092990978487162,0.6083112290008842,0.4433628318584071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
77,Georgia,0.004076441525054675,0.002774711319346499,0.002164060424263661,0.0007724287511819707,0.5680147058823529,0.01976352737835206,0.1271186440677966,0.2648221343873518,0.6573957016434894,0.4895489548954896,0.17658349328214967,0.45985401459854014,0.3569131832797428,0.3090909090909091,0.3151515151515152,0.0009976493418298702,0.003216041535165314,0.10112359550561797,0.536,0.1134020618556701,0.1989664082687338,0.5935483870967743,0.3782051282051282,0.64,0.08695652173913043,0.9425837320574162,0.7518022657054584,0.051952141057934505,0.7366946778711483,0.6106194690265485,0.7019417475728156,0.6007714561234331,0.5680888369374635,0.6335877862595419,0.4173297966401414,0.3380530973451327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
98,Iraq,0.02544424732221071,0.02715400179919916,0.0033885643653950564,0.009103759214242805,0.4724264705882352,0.025772480576897298,0.06497175141242938,0.7114624505928854,0.2844500632111252,0.2222222222222222,0.36468330134357,0.6362530413625304,0.5080385852090034,0.5393939393939394,0.5393939393939394,0.012902900026003064,0.02037196731950606,0.6179775280898878,0.6950000000000001,0.4329896907216495,0.7467700258397933,0.08387096774193549,0.2564102564102564,0.12,0.33043478260869563,0.8373205741626795,0.8331616889804325,0.013853904282115869,0.5798319327731092,0.5663716814159292,0.5398705504854369,0.4980392160077146,0.4210792908825248,0.47499421700208194,0.3178308282051282,0.27374631265486726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
101,Israel,0.0012908926447777157,0.005903444870437795,0.014801865250657496,0.016598458191850303,0.5624999999999999,0.2183967503467726,0.018361581920903956,0.22661396574440051,0.7914032869785083,0.008800880088008802,0.3051823416506717,0.9087591240875912,0.18006430868167206,0.4727272727272728,0.4727272727272728,0.028584966075675053,0.029249753296053626,0.4382022471910113,0.9209999999999999,0.2680412371134021,0.4237726098191214,0.4419354838709678,0.4038461538461538,0.48,0.41739130434782606,1.0,1.0,0.023992443324937027,0.9243697478991593,0.9498525073746311,0.5747572815533979,0.4937319189971071,0.5634132086499124,0.6224843858431645,0.6622458001768345,0.4743362831858407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
105,Jordan,0.005223810676252991,0.006882504349010582,0.0042049003261493195,0.0020782170046874096,0.5606617647058822,0.02831813675210647,0.05649717514124294,0.31225296442687744,0.6763590391908977,0.019801980198019802,0.30326295585412666,0.8990267639902676,0.42122186495176855,0.6060606060606061,0.6121212121212122,0.0035436844407760147,0.008537290079389774,0.808988764044944,0.8370000000000001,0.5154639175257731,0.6201550387596899,0.10645161290322581,0.3846153846153846,0.3466666666666667,0.2736231884347826,0.9832535885167464,0.9886714727085479,0.09130982367758186,0.6946778711484594,0.71976401179941,0.5019417475728154,0.42333654773384766,0.45704266510812386,0.47120055517002085,0.4129089301503094,0.36725663716814155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
109,Kuwait,0.001042095195027607,0.0029336311187670096,0.008933487872405148,0.006321640729150121,0.5496323529411764,0.17218697906609673,0.00847457627118644,0.5889328063241107,0.4525916561314792,0.026402640264026403,0.4856046065259117,0.7761557177615571,0.06109324758842445,1.0,1.0,0.021820865784072628,0.013701626023487993,0.8651685393258428,0.983,0.4948453608247423,0.24806201550387602,0.0806451612903226,0.09615384615384615,0.2533333333333333,0.2910144927826087,1.0,1.0,0.022218723756297232,0.6946778711484594,0.7581120943952802,0.554368932038835,0.4744455159112826,0.5616598480420807,0.5267175572519084,0.28735632183908044,0.17168141592920355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
113,Lebanon,0.0006112907721645835,0.004314246876232692,0.022892062673038192,0.00277857014744729,0.5441176470588235,0.04976105317297648,0.04519774011299435,0.2055335968379447,0.7876106194690267,0.08800880088008801,0.39155470249520147,0.767639902676399,0.21543408360128619,0.36969696969696975,0.36969696969696975,0.0016054886759248905,0.009071593040726154,0.9325842696629214,0.878,0.45360824742268047,0.2997416020671834,0.3096774193548387,0.3141025641025641,0.32,0.1391304347826087,0.7691387559808613,0.8012358393408857,0.03211586901763224,0.8459383753501399,0.8702064896755162,0.41165048543689314,0.41851494696239144,0.31794272355347747,0.34142956280360864,0.39876215738284704,0.3407079646017699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
152,Oman,0.01810127190824135,0.003288362813902077,0.0005737455573225721,0.003869850301733446,0.6213235294117646,0.09097458300191383,0.0211864406779661,0.6205533596837944,0.4096080910240202,0.052805280528052806,0.7216890595009597,0.597323600973236,0.5627009646302251,0.6060606060606061,0.6060606060606061,0.011540924623675248,0.010338895655343473,0.9887640449438204,0.7759999999999999,1.0,0.26614987080103364,0.05161290322580646,0.1346153846153846,0.2,0.34782608695652173,0.9677033492822966,0.945417095777549,0.06524979009760705,0.7843137254901957,0.7876106194690267,0.6339805825242717,0.522661523625844,0.5920514319111632,0.6155447605829285,0.25705865013262597,0.21834808256637167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
