,country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,clusters
0,Afghanistan,0.03818309784524097,0.025206524792907636,0.0020908982391017223,0.0011219954520291086,0.4724264705882352,0.002826735353914707,0.3290960451977401,0.25428194993412384,0.48546144121365353,0.6754675467546756,0.15355086372360843,0.27007299270072993,0.26688102893890675,0.5515151515151515,0.5515151515151515,0.0006880665753963816,0.0015855729310206876,0.6179775280898878,0.267,0.5360824742268042,0.8191214470284238,0.05483870967741934,0.4294871794871794,0.04,0.19999999999999996,0.3433014354066986,0.24819773429454173,0.3373740554156171,0.3585434173669466,0.3893805309734515,0.43883495145631063,0.7560270009643201,0.19345412039742843,0.4052741151977794,0.02740937223695844,0.1088495575221239,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5,Angola,0.07291391175445715,0.02112994815241544,0.0009164526351863901,0.006537922997192101,0.5716911764705882,0.026983601155731448,0.096045197740113,0.621870882740448,0.34260429835651074,0.04400440044004401,0.6833013435700576,0.6313868613138687,0.20257234726688106,0.8545454545454545,0.8606060606060606,0.009915615099899433,0.003906812585012846,0.651685393258427,0.441,0.6391752577319588,0.9121447028423773,0.05161290322580646,0.11538461538461536,0.1315555556,0.3037681159130435,0.8636363636363635,0.20185375901132854,0.006612090680100755,0.3445378151260503,0.2831858407079646,0.529126213592233,1.0,0.09409701928696668,0.1582234559333796,0.06719717064544649,0.0831858407079646,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
16,Bangladesh,0.008630709840061958,0.1168266270123929,0.04870676211122962,0.01077990520948637,0.6378676470588235,0.006279403332677877,0.2189265536723164,0.31752305665349145,0.5233881163084703,0.4444444444444445,0.32821497120921306,0.413625304136253,0.11897106109324761,0.6484848484848484,0.6424242424242425,0.017003927831349127,0.023391534720802253,0.3932584269662922,0.34299999999999997,0.4948453608247423,0.4366925064599482,0.15806451612903227,0.08333333333333331,0.05333333333333334,0.07826086956521738,0.49401913875598097,0.6096807415036045,0.01952141057934509,0.6218487394957981,0.6489675516224187,0.7689320388349514,0.6055930568948892,0.3553477498538866,0.3296321998612075,0.09549071618037135,0.12743362831858407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,Bhutan,0.002245493485121222,0.0005725369559479992,0.000812485319429951,0.00011315870522268174,0.6121323529411764,0.014955065714068072,0.24293785310734461,0.525691699604743,0.3021491782553729,0.6204620462046205,0.14779270633397312,0.33333333333333337,0.06752411575562701,0.38787878787878793,0.38787878787878793,0.0002907057684802271,0.0007498910946543034,0.4382022471910113,0.386,0.5051546391752577,0.38759689922480617,0.15806451612903227,0.1346153846153846,0.04,0.5565217391304349,0.7356459330143541,0.3110195674562307,0.08280856423173803,0.5098039215686274,0.6135693215339231,0.4951456310679612,0.41851494696239144,0.4704850964348333,0.479528105482304,0.07603890362511051,0.10265486725663717,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
27,Botswana,0.034038579161862564,0.0016253806271088799,0.00015017501164818999,0.0007960473736341327,0.5110294117647058,0.03670622442755214,0.03389830508474576,0.38735177865612647,0.6232616940581542,0.28052805280528054,0.2476007677543186,0.645985401459854,0.5884244372990355,0.4606060606060606,0.4606060606060606,0.0034549625503956854,0.0027124098752700407,0.46067415730337086,0.574,0.2577319587628866,0.5142118863049094,0.12903225806451613,0.25,0.05333333333333334,0.2742028985217391,0.742822966507177,0.41400617919670446,0.007241813602015114,0.4313725490196074,0.35398230088495586,0.5815533980582523,0.5419479267116684,0.266900448100526,0.3244043488549619,0.23961096374889473,0.16106194690265485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
35,Cambodia,0.010587928141869055,0.011354252097883244,0.003488681039827183,0.000998912489954462,0.645220588235294,0.005988876114351986,0.3983050847457627,0.3346508563899868,0.34639696586599233,0.46424642464246424,0.3378119001919386,0.3856447688564477,0.0,0.8545454545454545,0.8666666666666667,0.00623129702437162,0.0068063618502351465,0.4382022471910113,0.207,0.3917525773195877,0.5116279069767442,0.15161290322580645,0.2692307692307692,0.02666666666666667,0.07826086956521738,0.8576555023923444,0.28424304840370757,0.0625,0.529411764705882,0.5221238938053099,0.6825242718446602,0.6162005785920927,0.3955581531268264,0.42997918112421935,0.09902740937223695,0.11769911504424778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36,Cameroon,0.027818642918109846,0.017064722926167564,0.0019561257927507825,0.0015736323029570682,0.6231617647058822,0.006334910565447456,0.3206214689265537,0.3201581027667984,0.4323640960809103,0.6776677667766777,0.12859884836852203,0.2822384428223844,0.1382636655948553,0.7333333333333334,0.7636363636363637,0.0010052001410111747,0.002177217890703484,0.5617977528089888,0.544,0.4948453608247423,0.806201550387597,0.07741935483870967,0.16666666666666663,0.1475555556,0.17391304347826086,0.5430622009569377,0.24613800205973224,0.03636649874055416,0.196078431372549,0.21533923303834834,0.6291262135922329,0.6779170684667309,0.2741087083576855,0.3490631505898682,0.12908930150309456,0.1654867256637168,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39,Central African Republic,0.036435550172807196,0.0033046804718782903,0.00028494745799912975,8.870844113488035e-05,0.6047794117647058,0.0011142781727255173,0.4929378531073446,0.2740447957839262,0.3223767383059418,0.7920792079207922,0.04414587332053742,0.20802919708029197,0.21221864951768493,0.48484848484848486,0.47878787878787876,0.00010052001410111747,6.489869580292133e-05,0.30337078651685395,0.4,0.3917525773195877,0.8191214470284238,0.10000000000000002,0.17307692307692307,0.13333333333333333,0.017391304347826084,0.32535885167464124,0.04428424304840371,0.5077141057934509,0.008403361344537563,0.0,0.329126213592233,0.5216972034715525,0.03039158386908241,0.07425399028452463,0.007957559681697611,0.02743362831858407,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40,Chad,0.07509542206843907,0.010570295051634745,0.00045052503494457,0.0005530971304759791,0.6378676470588235,0.0033570065776070833,0.3587570621468926,0.46113306982872204,0.2616940581542352,0.8404840484048405,0.0,0.18369829683698294,0.17684887459807075,0.6787878787878788,0.7090909090909091,0.0009391306481747595,0.0006089809126712482,0.6292134831460675,0.225,0.4742268041237114,0.9198966408268734,0.05161290322580646,0.1346153846153846,0.0,0.15652173913043477,0.17942583732057416,0.03707518022657055,0.09036523929471033,0.0588235294117645,0.07964601769911517,0.40873786407766993,0.5920925747348119,0.04324956165984805,0.12768910478834145,0.004420866489832007,0.0415929203539823,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,Congo,0.020002051672434705,0.0037317774328209114,0.0005891481226198222,0.00046904588250067987,0.5386029411764706,0.010000749938144865,0.06638418079096045,0.8695652173913043,0.13147914032869787,0.4455445544554456,0.4568138195777351,0.33090024330900236,0.3601286173633441,0.4363636363636364,0.4363636363636364,0.0011986893700321052,0.004352657734946614,0.550561797752809,0.654,0.45360824742268047,0.7958656330749354,0.09032258064516131,0.23717948717948717,0.20088888893333331,0.3136231884347826,0.04306220095693783,0.02780638516992791,0.01653022670025189,0.37535014005602196,0.3893805309734515,0.6689320388349513,0.5188042430086789,0.2571595558153127,0.3199167244968772,0.0680813439434129,0.08938053097345132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
